,Zip Code,Residential Units,Commercial Units,Total Units,Land Square Feet,Gross Square Feet,Year Built,Tax Class At Time Of Sale,Sale Price,X Coordinate,Y Coordinate,Building Class Category,Address,Borough,Neighborhood
25,10028,0.25,0.0026041666666666665,0.2552083333333333,12.505208333333334,42.723958333333336,1952.0911458333333,2.0052083333333335,1347994.0104166667,-74.0060152,40.7127281,10 Coops - Elevator Apartments             ,350 East 82Nd   Street,Manhattan,Upper East Side (79-96)
26,10029,3.2138364779874213,0.0880503144654088,3.308176100628931,677.8050314465409,2126.327044025157,1962.5849056603774,2.0125786163522013,1221898.5094339622,-74.0060152,40.7127281,13 Condos - Elevator Apartments            ,194 East 101 Street,Manhattan,Harlem-East
27,10030,2.537037037037037,0.018518518518518517,2.5555555555555554,1071.2222222222222,1540.5,1938.3148148148148,1.7962962962962963,1212429.2222222222,-73.943105380669,40.81806460477859,13 Condos - Elevator Apartments            ,300 West 135 Street,Manhattan,Harlem-Central
28,10031,1.5166666666666666,0.09166666666666666,1.6,829.4,2034.2333333333333,1918.9833333333333,1.8333333333333333,1126086.0583333333,-73.94835971323272,40.82531035746355,10 Coops - Elevator Apartments             ,750 Riverside Drive,Manhattan,Harlem-Upper
29,10032,1.0666666666666667,0.03333333333333333,1.1111111111111112,279.81111111111113,766.0111111111111,1922.2333333333333,2.0,749817.1333333333,-73.94101474710668,40.83739124966503,10 Coops - Elevator Apartments             ,775 Riverside Drive,Manhattan,Washington Heights Lower
30,10033,0.4198473282442748,0.007633587786259542,0.42748091603053434,96.33587786259542,248.3206106870229,1932.9007633587787,1.9770992366412214,638483.9083969466,-73.93520630223284,40.84931719055087,10 Coops - Elevator Apartments             ,105 Bennett Avenue,Manhattan,Washington Heights Upper
31,10034,0.25757575757575757,0.06060606060606061,0.3181818181818182,810.6060606060606,397.3333333333333,1940.8484848484848,2.0606060606060606,511783.54545454547,-73.92166406690092,40.86576010392481,10 Coops - Elevator Apartments             ,439 West 202 Street,Manhattan,Inwood
32,10035,2.0140845070422535,0.08450704225352113,2.0985915492957745,737.4788732394367,1783.2394366197184,1954.7042253521126,2.056338028169014,1221755.338028169,-74.0060152,40.7127281,07 Rentals - Walkup Apartments             ,2279 Third Avenue,Manhattan,Harlem-Central
33,10036,0.7692307692307693,0.0,0.8358974358974359,12.871794871794872,41.92307692307692,1982.8615384615384,2.1333333333333333,1245331.5897435897,-74.0060152,40.7127281,13 Condos - Elevator Apartments            ,350 West 42Nd   Street,Manhattan,Clinton
34,10037,1.7307692307692308,0.07692307692307693,1.8076923076923077,582.4615384615385,1400.6538461538462,1940.0384615384614,1.9615384615384615,1089212.9615384615,-74.0060152,40.7127281,13 Condos - Elevator Apartments            ,48 West 138 Street,Manhattan,Harlem-Central
35,10038,0.4583333333333333,0.0,0.4880952380952381,0.0,0.0,1966.9940476190477,2.0595238095238093,1192330.5238095238,-74.0060152,40.7127281,10 Coops - Elevator Apartments             ,115 Nassau Street,Manhattan,Southbridge
36,10039,1.0625,0.08333333333333333,1.1458333333333333,87.08333333333333,44.125,1955.5625,2.0416666666666665,631782.6458333334,-73.93928229337483,40.82436596915043,13 Condos - Elevator Apartments            ,68 Bradhurst Avenue,Manhattan,Harlem-Central
37,10040,0.3269230769230769,0.0,0.3269230769230769,72.11538461538461,251.68269230769232,1947.0673076923076,2.0,547397.2211538461,-73.93248378140589,40.85288254470298,10 Coops - Elevator Apartments             ,255 Cabrini Boulevard,Manhattan,Washington Heights Upper
38,10044,0.14035087719298245,0.0,0.14035087719298245,0.0,0.0,1979.2280701754387,2.0,1024830.9298245613,-74.0060152,40.7127281,17 Condo Coops                             ,"551 Main Street, Res",Manhattan,Roosevelt Island
39,10065,0.5047846889952153,0.08851674641148326,0.5956937799043063,42.889952153110045,506.2751196172249,1957.433014354067,2.007177033492823,1475700.1866028707,-74.0060152,40.7127281,10 Coops - Elevator Apartments             ,200 East 66Th Street,Manhattan,Upper East Side (59-79)
40,10069,0.896551724137931,0.0,1.0,0.0,0.0,2006.4137931034484,2.206896551724138,2159457.793103448,-74.0060152,40.7127281,13 Condos - Elevator Apartments            ,240 Riverside Boulevard,Manhattan,Upper West Side (59-79)
41,10075,0.6144278606965174,0.024875621890547265,0.6417910447761194,68.09950248756219,278.9303482587065,1948.2412935323382,2.0049751243781095,1133831.0273631841,-74.0060152,40.7127281,10 Coops - Elevator Apartments             ,301 East 79Th   Street,Manhattan,Upper East Side (59-79)
42,10128,0.35892514395393477,0.003838771593090211,0.3646833013435701,7.280230326295586,15.558541266794625,1961.7466410748561,2.0057581573896353,1403029.0959692898,-74.0060152,40.7127281,10 Coops - Elevator Apartments             ,389 East 89Th   Street,Manhattan,Upper East Side (79-96)
43,10280,1.0,0.0,1.0,0.0,0.0,1986.6451612903227,2.0,1018870.5806451613,-74.0060152,40.7127281,13 Condos - Elevator Apartments            ,200 Rector Place,Manhattan,Tribeca
44,10282,1.0,0.0,1.0,0.0,0.0,2000.0,2.0,2188501.125,-74.0060152,40.7127281,13 Condos - Elevator Apartments            ,212 Warren Street,Manhattan,Tribeca
45,10301,1.7169811320754718,0.05660377358490566,1.7735849056603774,4379.938005390835,2030.2264150943397,1946.8517520215632,1.307277628032345,485370.7035040431,-74.09383846998692,40.62952804477569,01 One Family Dwellings                    ,200 Hart Boulevard,Staten Island,New Brighton
46,10302,1.4220183486238531,0.12385321100917432,1.5412844036697249,3701.3256880733943,1630.559633027523,1945.6422018348624,1.110091743119266,403915.7385321101,-74.1371819391177,40.630747553121054,01 One Family Dwellings                    ,405 Jewett Avenue,Staten Island,Port Richmond
47,10303,1.6594982078853047,0.05017921146953405,1.7096774193548387,4284.329749103943,1713.9175627240143,1968.0609318996417,1.1003584229390682,346165.32616487454,-74.15877125203949,40.630271769607624,01 One Family Dwellings                    ,92 Simonson Avenue,Staten Island,Mariners Harbor
48,10304,1.2240184757505774,0.04849884526558892,1.2748267898383372,4368.965357967668,1636.0831408775982,1963.392609699769,1.1547344110854503,525518.1662817552,-74.08813855832415,40.60977169038602,01 One Family Dwellings                    ,755 Narrows Road North,Staten Island,Concord
49,10305,1.215568862275449,0.041916167664670656,1.2574850299401197,3048.1077844311376,1373.8982035928143,1970.6167664670659,1.1457085828343314,489310.2954091816,-74.07602296433987,40.59843832051841,01 One Family Dwellings                    ,175 Zoe Street,Staten Island,South Beach
50,10306,1.158751696065129,0.025780189959294438,1.1845318860244234,3315.3215739484394,1328.8113975576662,1968.6824966078698,1.1044776119402986,475283.3052917232,-74.11677033317085,40.569003552876936,01 One Family Dwellings                    ,145 Lincoln Avenue,Staten Island,Midland Beach
51,10307,1.4277456647398843,0.011560693641618497,1.439306358381503,4542.42774566474,2028.5549132947976,1974.6936416184972,1.0404624277456647,620965.9248554914,-74.24252391121192,40.50795486088144,01 One Family Dwellings                    ,445 Manhattan Street,Staten Island,Tottenville
52,10308,1.1903409090909092,0.056818181818181816,1.2471590909090908,3330.536931818182,1487.7613636363637,1972.0255681818182,1.0625,499155.3125,-74.15070044423983,40.55196054884065,01 One Family Dwellings                    ,3843 Amboy Road,Staten Island,Great Kills
53,10309,1.3056179775280898,0.035955056179775284,1.3393258426966292,4828.368539325843,2038.238202247191,1986.01797752809,1.0808988764044944,608781.5280898877,-74.21289092626431,40.53468786241295,01 One Family Dwellings                    ,150 Camden Avenue,Staten Island,Rossville
54,10310,1.4481481481481482,0.1037037037037037,1.5407407407407407,4792.029629629629,1883.2962962962963,1948.8925925925926,1.2074074074074075,470169.4962962963,-74.11649985999485,40.63191821757032,01 One Family Dwellings                    ,490 Clove Road,Staten Island,West New Brighton
55,10312,1.2090680100755669,0.013853904282115869,1.2241813602015112,3430.740554156171,1617.2997481108312,1981.2455919395466,1.0377833753148615,521993.09571788413,-74.17851701554632,40.546496489978864,01 One Family Dwellings                    ,119 Cortelyou Avenue,Staten Island,Eltingville
56,10314,1.2279745685740235,0.25158946412352406,1.4786557674841054,7646.815622161671,3033.884650317893,1975.6666666666667,1.0890099909173478,512924.76112624886,-74.14710507792189,40.604024500337275,01 One Family Dwellings                    ,1235 Forest Hill Road,Staten Island,New Springville
57,10451,1.3478260869565217,0.21739130434782608,1.565217391304348,1015.5978260869565,1335.2934782608695,1943.3369565217392,1.934782608695652,577403.8913043478,-73.91993549601845,40.82048364413682,10 Coops - Elevator Apartments             ,837 Washington Avenue,Bronx,Melrose/Concourse
58,10452,2.66,0.16,2.82,2312.16,3523.92,1924.96,1.62,523880.92,-73.92232118854076,40.837781058471286,10 Coops - Elevator Apartments             ,1370 Plimpton Avenue,Bronx,Highbridge/Morris Heights
59,10453,2.4754098360655736,0.08196721311475409,2.557377049180328,2625.44262295082,3167.5081967213114,1927.1639344262296,1.2950819672131149,508935.8360655738,-73.91199712935558,40.85233454033086,02 Two Family Dwellings                    ,28 West 174Th Street,Bronx,Highbridge/Morris Heights
60,10454,3.8615384615384616,0.46153846153846156,4.338461538461538,2844.646153846154,5113.0615384615385,1930.6153846153845,1.7538461538461538,1060571.9692307692,-73.91822320328629,40.807741084520494,07 Rentals - Walkup Apartments             ,424 East 143Rd Street,Bronx,Mott Haven/Port Morris
61,10455,2.302325581395349,0.37209302325581395,2.6744186046511627,2710.139534883721,4047.4186046511627,1938.3023255813953,1.7674418604651163,899575.6046511628,-73.90882641047494,40.81545421136493,02 Two Family Dwellings                    ,388 East 154 Street,Bronx,Morrisania/Longwood
62,10456,3.213675213675214,0.1794871794871795,3.393162393162393,2541.82905982906,3942.991452991453,1931.3504273504273,1.4444444444444444,668595.7094017094,-73.90857003575195,40.82974327849674,02 Two Family Dwellings                    ,788 East 163Rd Street,Bronx,Melrose/Concourse
63,10457,2.5985915492957745,0.1619718309859155,2.76056338028169,2459.2323943661972,3229.1338028169016,1925.6971830985915,1.3661971830985915,620027.7253521127,-73.89772325779803,40.847962144155325,02 Two Family Dwellings                    ,2150 Crotona Avenue,Bronx,East Tremont
64,10458,3.424,0.208,3.632,2119.344,3550.712,1927.712,1.472,727847.344,-73.88877220100115,40.86155916982121,02 Two Family Dwellings                    ,509 East 183 Street,Bronx,Bedford Park/Norwood
